Cell_ID,Throughput_Mbps,Latency_ms,PRB_Utilization,Active_Users,Energy_Consumption_W,Packet_Loss_Rate,Handover_Failure_Rate
Cell_1,120,18,65,220,310,0.8,1.2
Cell_2,130,19,67,230,320,0.75,1.1
Cell_3,125,17,66,225,315,0.78,1.15
Cell_4,128,18,64,215,312,0.76,1.1
Cell_5,132,19,68,235,325,0.8,1.2
Cell_6,310,27,88,510,630,1.6,2.4
Cell_7,320,28,90,520,640,1.7,2.5
Cell_8,300,26,87,500,620,1.5,2.3
Cell_9,315,27,89,515,635,1.6,2.45
Cell_10,325,29,91,525,645,1.8,2.6
Cell_11,80,12,40,150,200,0.3,0.5
Cell_12,78,11,39,145,195,0.28,0.45
Cell_13,82,13,41,155,205,0.32,0.55
Cell_14,79,12,38,148,198,0.27,0.48
Cell_15,81,11,40,152,202,0.29,0.5
Cell_16,200,22,75,350,420,1.0,1.5
Cell_17,210,23,78,360,430,1.1,1.6
Cell_18,195,21,74,340,415,0.95,1.4
Cell_19,205,22,76,355,425,1.05,1.55
Cell_20,400,40,98,800,950,3.0,4.5
Cell_21,405,42,99,820,970,3.2,4.7
Cell_22,410,41,97,810,960,3.1,4.6
Cell_23,60,10,30,100,150,0.1,0.2
Cell_24,62,9,32,105,155,0.12,0.25
Cell_25,58,11,28,95,140,0.11,0.18
Cell_26,600,60,110,1200,1500,6.5,8.0
Cell_27,45,8,25,80,120,0.05,0.1
